Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Curve Quality,Result Quality Issues
A1,false,GR1 (5ng),PCB,Unknown,FAM,22.54340272836184,0.9674101587198382,1.5071026389330298,Amp,false,0.3939223683307082,3,16,88.68412017822266,,,,
A2,false,GR1 (5ng),PCB,Unknown,FAM,22.561807985074232,0.972848393767854,1.509427738392175,Amp,false,0.3939223683307082,3,16,88.68412017822266,,,,
A3,false,GR1 (5ng),PCB,Unknown,FAM,22.46607151254971,0.9792044588229164,1.5157652759020734,Amp,false,0.3939223683307082,3,16,88.85090637207031,,,,
A4,false,GR2 (5ng),PCB,Unknown,FAM,22.45783934273556,0.9786570634323122,1.5147748034277675,Amp,false,0.3939223683307082,3,17,88.69151306152344,,,,
A5,false,GR2 (5ng),PCB,Unknown,FAM,22.739198154022638,0.9867209352054702,1.4923195197209862,Amp,false,0.3939223683307082,3,17,88.6619873046875,,,,
A6,false,GR2 (5ng),PCB,Unknown,FAM,22.825875077671768,0.9894864155063113,1.4729016135656232,Amp,false,0.3939223683307082,3,17,88.6619873046875,,,,
A7,false,GR3 (5ng),PCB,Unknown,FAM,22.507442252349783,0.9868709878599794,1.4603441293571204,Amp,false,0.3939223683307082,3,15,88.51434326171875,,,,
A8,false,GR3 (5ng),PCB,Unknown,FAM,22.196670286333095,0.985834855497231,1.510550542761777,Amp,false,0.3939223683307082,3,17,88.99221801757812,,,,
A9,false,GR3 (5ng),PCB,Unknown,FAM,22.155967421218726,0.9718140485084902,1.5121051269022054,Amp,false,0.3939223683307082,3,16,88.85723876953125,,,,
A10,false,idgf6 RNAI 1 (5ng),LDH,Unknown,FAM,Undetermined,0,0.6078758605110822,No Amp,false,0.4261331202250895,3,39,91.40812683105469,,,,
A11,false,idgf6 RNAI 1 (5ng),LDH,Unknown,FAM,21.103730834607475,0.9820226467164487,1.5021335925877999,Amp,false,0.4261331202250895,3,14,83.25250244140625,88.03018188476562,,,
A12,false,idgf6 RNAI 1 (5ng),LDH,Unknown,FAM,21.125338187272888,0.9813021804227248,1.5020253436350164,Amp,false,0.4261331202250895,3,15,83.09324645996094,88.03018188476562,91.0560531616211,,
B1,false,GR1 (5ng),PDH,Unknown,FAM,23.89690506300564,0.9829888851308068,1.4840148833770697,Amp,false,0.3205152877425583,3,18,89.48088836669922,,,,
B2,false,GR1 (5ng),PDH,Unknown,FAM,23.880689572752303,0.9830362073028659,1.4776352962482786,Amp,false,0.3205152877425583,3,18,89.48088836669922,,,,
B3,false,GR1 (5ng),PDH,Unknown,FAM,23.701728643056285,0.9797035223771021,1.4973633488072005,Amp,false,0.3205152877425583,3,18,89.48848724365234,,,,
B4,false,GR2 (5ng),PDH,Unknown,FAM,23.91750208821351,0.988439286607592,1.4705444417641755,Amp,false,0.3205152877425583,3,18,89.48848724365234,,,,
B5,false,GR2 (5ng),PDH,Unknown,FAM,23.863738497969017,0.9871902436422234,1.4705096338149937,Amp,false,0.3205152877425583,3,18,89.61737060546875,,,,
B6,false,GR2 (5ng),PDH,Unknown,FAM,24.353200864509763,0.9852852055597874,1.3908819728022723,Amp,false,0.3205152877425583,3,18,89.45814514160156,,,,
B7,false,GR3 (5ng),PDH,Unknown,FAM,23.62927717749134,0.9807952741242584,1.4876102512047094,Amp,false,0.3205152877425583,3,17,89.62939453125,,,,
